year,title,imdb_rating,imdb_rating_0_1,num_imdb_ratings,mpaa_rating,run_time_min,budget,domgross,intgross,budget_2013,domgross_2013,intgross_2013
2011,Battle: Los Angeles,5.8,0.58,160458,PG-13,116,70000000,83552429,212005201,72498355,86534481,219571833
2011,Beastly,5.6,0.5599999999999999,68107,PG-13,86,17000000,27865571,38028230,17606743,28860115,39385487
2011,Blackthorn,6.6,0.6599999999999999,7966,R,102,4500000,200558,1249765,4660609,207716,1294370
2011,Bridesmaids,6.8,0.6799999999999999,231606,R,125,32500000,169106725,289263136,33659951,175142277,299587165
2011,Captain America: The First Avenger,6.9,0.6900000000000001,561241,PG-13,124,140000000,176654505,370569776,144996710,182959443,383795703
2011,Cars 2,6.2,0.62,115918,G,106,200000000,191450875,560155383,207138157,198283907,580147769
2011,Circumstance,5.9,0.5900000000000001,6645,R,107,900000,454121,454121,932122,470329,470329
2011,Colombiana,6.4,0.64,80901,PG-13,108,40000000,36665854,71698079,41427631,37974487,74257040
2011,Conan the Barbarian,5.2,0.52,85736,R,113,20000000,38264085,79114085,20713816,39629760,81937729
2011,Contagion,6.6,0.6599999999999999,189377,PG-13,106,60000000,75658097,137551594,62141447,78358394,142460919
2011,Coriolanus,6.2,0.62,28182,R,123,10000000,749641,1049641,10356908,776396,1087104
2011,Cowboys & Aliens,6,0.6,182148,PG-13,119,163000000,100240551,175910315,168817598,103818215,182188693
2011,Detention,5.8,0.58,13299,R,93,10000000,NA,NA,10356908,NA,NA
2011,Diary of a Wimpy Kid: Rodrick Rules,6.6,0.6599999999999999,20805,PG,99,18000000,52698535,73695194,18642434,54579387,76325433
2011,Dolphin Tale,6.9,0.6900000000000001,19053,PG,113,37000000,72286779,96068724,38320559,74866751,99497492
2011,Dream House,6,0.6,54592,PG-13,84,50000000,21302340,39932340,51784539,22062637,41357557
2011,Drive,7.8,0.78,470899,R,100,15000000,35060689,78054825,15535362,36312033,80840663
2011,Fast Five,7.3,0.73,306511,PG-13,131,125000000,209837675,629841284,129461348,217326947,652320815
2011,Final Destination 5,5.9,0.5900000000000001,89565,R,92,40000000,42587643,157887643,41427631,44107629,163522777
2011,Footloose,5.9,0.5900000000000001,40033,PG-13,113,24000000,51802742,63412773,24856579,53651623,65676025
2011,Fright Night,6.4,0.64,89206,R,106,30000000,18298649,40520649,31070724,18951742,41966863
2011,Green Lantern,5.6,0.5599999999999999,235025,PG-13,114,200000000,116601172,231201172,207138157,120762760,239452924
2011,Hall Pass,5.9,0.5900000000000001,108022,R,105,36000000,45060734,83693266,37284868,46668987,86680344
2011,Hanna,6.8,0.6799999999999999,166125,PG-13,111,30000000,40259119,65343694,31070724,41695999,67675862
2011,Harry Potter and the Deathly Hallows: Part 2,8.1,0.8099999999999999,606096,PG-13,130,125000000,381011219,1328111219,129461348,394609809,1375512553
2011,Haywire,5.8,0.58,75343,R,93,23000000,18942396,22176190,23820888,19618465,22967676
2011,Hesher,7.1,0.71,46063,R,106,7000000,382946,382946,7249836,396614,396614
2011,Higher Ground,6.3,0.63,2709,R,109,1800000,841056,859182,1864243,871074,889847
2011,Hobo with a Shotgun,6.1,0.61,39299,NOT RATED,86,3000000,703372,834953,3107072,728476,864753
2011,Hop,5.5,0.55,25965,PG,95,63000000,108085305,184924333,65248520,111942955,191524428
2011,Horrible Bosses,6.9,0.6900000000000001,374046,R,98,35000000,117538559,214538559,36249178,121733603,222195609
2011,Hugo,7.5,0.75,263393,PG,126,180000000,73864507,185033215,186424342,76500789,191637196
2011,I Am Number Four,6.1,0.61,205163,PG-13,109,50000000,55100437,145982797,51784539,57067015,151193038
2011,Immortals,6,0.6,144645,R,110,75000000,83504017,211562435,77676809,86484341,219113265
2011,In Time,6.7,0.67,323696,PG-13,109,35000000,37553932,170064664,36249178,38894261,176134406
2011,Iris,5.8,0.58,115,NOT RATED,85,5500000,5580479,15155021,5696299,5779651,15695916
2011,Jin ling shi san chai,7.6,0.76,41728,R,146,100000000,311434,93721434,103569079,322549,97066426
2011,Johnny English Reborn,6.3,0.63,95473,PG,101,45000000,8305970,164539660,46606085,8602417,170412210
2011,Jumping the Broom,5.7,0.5700000000000001,8387,PG-13,112,7000000,37295394,38158601,7249836,38626496,39520511
2011,Just Go with It,6.4,0.64,185238,PG-13,117,80000000,103028109,214974953,82855263,106705263,222647578
2011,Kill List,6.4,0.64,28993,NOT RATED,95,800000,29063,462206,828553,30100,478703
